Rank,Club,Points,MP,Wins,Ties,Loses,GF,GA,GD
1,Arsenal,29,12,9,2,1,24,6,18
2,Man City,25,13,8,1,4,27,12,15
3,Chelsea,23,12,7,2,3,23,11,12
4,Sunderland,22,13,6,4,3,17,13,4
5,Aston Villa,21,12,6,3,3,15,11,4
6,Crystal Palace,20,12,5,5,2,16,9,7
7,Brighton,19,12,5,4,3,19,16,3
8,Brentford,19,13,6,1,6,21,20,1
9,Bournemouth,19,13,5,4,4,21,23,-2
10,Tottenham,18,13,5,3,5,21,16,5
11,Newcastle,18,13,5,3,5,17,16,1
12,Man Utd,18,12,5,3,4,19,19,0
13,Liverpool,18,12,6,0,6,18,20,-2
14,Everton,18,13,5,3,5,14,17,-3
15,Fulham,17,13,5,2,6,15,17,-2
16,Nott'm Forest,12,12,3,3,6,13,20,-7
17,West Ham,11,12,3,2,7,15,25,-10
18,Leeds,11,13,3,2,8,13,25,-12
19,Burnley,10,13,3,1,9,15,27,-12
20,Wolves,2,12,0,2,10,7,27,-20
